source_id,collection,source_type,authority_tier,publisher,title,source_url,local_path,parent_asins,language,jurisdiction,department,policy_key,approval_status,version_number,valid_from,valid_to,supersedes_version,section_path,rule_key,rule_effect,ingest
sample_commerce_refund_policy,compensation_policy,internal_policy,1,Sample Commerce Customer Operations,환불 정책,,data/rag/internal_policies/refund_policy.md,,ko,KR,CS,refund_policy,APPROVED,1,2026-09-01T00:00:00+09:00,,,,,,yes
sample_commerce_reshipment_policy,compensation_policy,internal_policy,1,Sample Commerce Customer Operations,재배송 정책,,data/rag/internal_policies/reshipment_policy.md,,ko,KR,CS,reshipment_policy,APPROVED,1,2026-09-01T00:00:00+09:00,,,,,,yes
sample_commerce_compensation_coupon_policy,compensation_policy,internal_policy,1,Sample Commerce Customer Operations,고객 보상 쿠폰 정책,,data/rag/internal_policies/compensation_coupon_policy.md,,ko,KR,CS,compensation_coupon_policy,APPROVED,1,2026-09-01T00:00:00+09:00,,,,,,yes
sample_commerce_promotion_stack_policy,promotion_policy,internal_policy,1,Sample Commerce Customer Operations,프로모션 중복 적용 정책,,data/rag/internal_policies/promotion_stack_policy.md,,ko,KR,CS,promotion_stack_policy,APPROVED,1,2026-09-01T00:00:00+09:00,,,,,,yes
sample_commerce_damaged_item_sop,cs_sop,internal_sop,1,Sample Commerce Customer Operations,파손 상품 처리 SOP,,data/rag/internal_policies/damaged_item_sop.md,,ko,KR,CS,damaged_item_sop,APPROVED,1,2026-09-01T00:00:00+09:00,,,,,,yes
sample_commerce_leakage_claim_sop,cs_sop,internal_sop,1,Sample Commerce Customer Operations,누수 클레임 처리 SOP,,data/rag/internal_policies/leakage_claim_sop.md,,ko,KR,CS,leakage_claim_sop,APPROVED,1,2026-09-01T00:00:00+09:00,,,,,,yes
sample_commerce_escalation_policy,cs_sop,internal_policy,1,Sample Commerce Customer Operations,CS Escalation 정책,,data/rag/internal_policies/escalation_policy.md,,ko,KR,CS,escalation_policy,APPROVED,1,2026-09-01T00:00:00+09:00,,,,,,yes
sample_commerce_high_risk_customer_policy,cs_sop,internal_policy,1,Sample Commerce Customer Operations,고위험 고객 응대 정책,,data/rag/internal_policies/high_risk_customer_policy.md,,ko,KR,CS,high_risk_customer_policy,APPROVED,1,2026-09-01T00:00:00+09:00,,,,,,yes
sample_commerce_product_specific_cs_guide,product_operation_guides,internal_guide,1,Sample Commerce Customer Operations,상품별 CS 가이드 — B00RWCDM4A,,data/rag/internal_policies/product_specific_cs_guide.md,B00RWCDM4A,ko,KR,CS,product_specific_cs_guide,APPROVED,1,2026-09-01T00:00:00+09:00,,,,,,yes
sample_commerce_exception_approval_policy,exception_policy,internal_policy,1,Sample Commerce Customer Operations,정책 예외 승인 정책,,data/rag/internal_policies/exception_approval_policy.md,,ko,KR,CS,exception_approval_policy,APPROVED,1,2026-09-01T00:00:00+09:00,,,,,,yes
